id,northing,easting,altitude,start,stop,sd1500,sd750
1497,6116521.14,494873.88,1363.09,865123200,1,1,0
1498,6110028.17,482120.8,1384.69,864000000,1,1,0
1499,6106131.69,482874.96,1385.37,862963200,1,1,0
1500,6108728.93,488867.83,1372.3,891907200,1,1,0
1501,6133404.06,477627.1,1513.27,868838400,1,1,0
1502,6113924.3,490368.59,1368.19,865296000,1,1,0
1503,6111319.7,491871.29,1364.79,864604800,1,1,0
1504,6110028.09,491124.43,1367.21,891129600,1,1,0
1505,6112631.16,492621.88,1362.94,891907200,1,1,0
1506,6132104.02,472376.76,1535.28,868838400,1,1,0
1507,6129513.73,475369.64,1460.31,866505600,1,1,0
1508,6112625.48,494127.65,1362.41,865296000,1,1,0
1509,6116529.74,488877.51,1370.75,863568000,1,1,0
1510,6115221.31,489625.61,1369.28,864691200,1,1,0
1511,6120420.19,495627.33,1362.43,864518400,1,1,0
1512,6113917.85,493368.32,1363.33,865296000,1,1,0
1513,6115219.75,488115.07,1371.68,867110400,1,1,0
1514,6111328.77,494871.53,1362.84,864604800,1,1,0
1515,6107428.78,482121.87,1385.41,863222400,1,1,0
1516,6120415.68,494123.91,1364.31,866505600,1,1,0
1517,6104839.47,482125.26,1387.15,863222400,1,1,0
1518,6115217.58,480621.72,1386.71,856310400,1,1,0
1519,6112620.57,480628.57,1387.91,856051200,1,1,0
1520,6113922.05,481374.88,1386.12,856310400,1,1,0
1521,6106137.99,487383.13,1376.16,891993600,1,1,0
1522,6112613.75,483634.65,1381.99,865641600,1,1,0
1523,6111331.61,482875.23,1382.89,866419200,1,1,0
1524,6112629.52,486620.34,1375.09,865728000,1,1,0
1525,6111317.29,478374.51,1393.88,856569600,1,1,0
1526,6110029.03,476131.67,1399.17,856310400,1,1,0
1527,6111316.31,479880.39,1389.78,856569600,1,1,0
1528,6111328.18,481376.56,1387.22,856656000,1,1,0
1529,6102232.54,482122.37,1385.92,892339200,1,1,0
1530,6121722.09,487372.25,1373.04,863827200,1,1,0
1531,6120435.13,485123.44,1377.3,861580800,1,1,0
1532,6123018.15,486624.61,1375.16,862185600,1,1,0
1533,6112630.03,485129.08,1379.64,866505600,1,1,0
1534,6106138.39,484374.2,1381.04,862963200,1,1,0
1535,6116528.19,484375.61,1380.09,863913600,1,1,0
1536,6117815.53,486623.13,1374.11,868838400,1,1,0
1537,6124326.26,487377.09,1373.9,861667200,1,1,0
1538,6117818.33,485125.79,1378,863827200,1,1,0
1539,6120418.92,486628.52,1374.02,861667200,1,1,0
1540,6116522.49,487371.57,1374.25,863654400,1,1,0
1541,6121722.16,494878.03,1362.74,864518400,1,1,0
1542,6121720.2,490374.55,1368.53,864518400,1,1,0
1543,6121722.89,491875.98,1366.8,864518400,1,1,0
1544,6121725.29,493378.49,1364.46,864518400,1,1,0
1545,6129508.18,473880.2,1472.8,866332800,1,1,0
1546,6129521.91,472376.1,1492.9,866419200,1,1,0
1547,6130810.26,471628.69,1530.71,867024000,1,1,0
1548,6128222.34,473123.06,1464.93,867110400,1,1,0
1549,6129493.13,470864.86,1520.76,866505600,1,1,0
1550,6130818.14,473124.56,1506.71,866851200,1,1,0
1551,6132107.09,473876.78,1521.47,868838400,1,1,0
1552,6128219.91,471619.63,1476.25,867110400,1,1,0
1553,6130815.08,476120.22,1477.44,867024000,1,1,0
1554,6132112.51,493377.08,1414.6,872640000,1,1,0
1555,6132113.89,494880.14,1408.65,872640000,1,1,0
1556,6130808.13,494126.05,1398.12,872985600,1,1,0
1557,6130812.98,495629.13,1393.48,872985600,1,1,0
1558,6123018.47,492624.99,1366.24,873763200,1,1,0
1559,6124313.08,491874.54,1368.07,873590400,1,1,0
1560,6125616.98,494124.59,1365.51,873504000,1,1,0
1561,6124314.3,494870.24,1363.56,873590400,1,1,0
1562,6123019.33,494124.84,1365.29,873763200,1,1,0
1563,6129516.67,491872.51,1384.49,873072000,1,1,0
1564,6132112.15,496382.73,1404.08,872985600,1,1,0
1565,6132054.71,491885.3,1414.19,872640000,1,1,0
1566,6126911.23,497873.3,1359.68,874108800,1,1,0
1567,6125613.46,497127.25,1360.86,871948800,1,1,0
1568,6117815.37,500115.51,1355.83,877478400,1,1,0
1569,6117819.4,498624.85,1356.19,877392000,1,1,0
1571,6121724.25,499376.17,1356.93,877478400,1,1,0
1572,6124315.2,493371.81,1364.72,873590400,1,1,0
1573,6121718.89,500876.7,1354.54,897264000,1,1,0
1576,6128208.83,497120.51,1365.12,873244800,1,1,0
1577,6123016.67,497125.13,1360.3,872985600,1,1,0
1578,6124318.75,500870.82,1355.38,873158400,1,1,0
1579,6119118.73,497877.43,1359.69,877392000,1,1,0
1580,6126918.34,500872.11,1355.01,886377600,1,1,0
1581,6123017.38,498625.51,1357.31,872985600,1,1,0
1582,6124316.78,499372.94,1357.71,871948800,1,1,0
1583,6120419.1,500124.21,1356.5,877478400,1,1,0
